"","id","ResourceID","GeoUnit","Geo","Period","Duration","Label1","Label2","Label3","Label4","Label5","Label6","Value","Unit","Measure","Multiplier","NullReason","Status"
"34","13fddfe8-740d-4568-87c2-0933ad4e4b65","CPWEE1",NA,NA,"2011-08-14","P7D","Total",NA,NA,NA,NA,NA,622,"Number","Registered deaths",0,NA,NA
"35","eca5b367-942e-4faa-90de-08002ebea4f7","CPWEE1",NA,NA,"2011-08-21","P7D","Total",NA,NA,NA,NA,NA,689,"Number","Registered deaths",0,NA,NA
"36","f682fe12-b480-4f62-b76b-0274d2144936","CPWEE1",NA,NA,"2011-09-04","P7D","Total",NA,NA,NA,NA,NA,624,"Number","Registered deaths",0,NA,NA
"37","df41e058-dd15-4e6e-bc8c-6ab4db9d1477","CPWEE1",NA,NA,"2011-09-11","P7D","Total",NA,NA,NA,NA,NA,684,"Number","Registered deaths",0,NA,NA
"38","a67697c7-ee13-413c-8fb2-98b71db9f89d","CPWEE1",NA,NA,"2011-09-18","P7D","Total",NA,NA,NA,NA,NA,643,"Number","Registered deaths",0,NA,NA
"39","5e0d38fe-e95e-4288-b0f4-c02fc623ae67","CPWEE1",NA,NA,"2011-09-25","P7D","Total",NA,NA,NA,NA,NA,622,"Number","Registered deaths",0,NA,NA
"40","dea475ac-9cbb-4902-9514-0a1fd3aac8b8","CPWEE1",NA,NA,"2011-10-02","P7D","Total",NA,NA,NA,NA,NA,582,"Number","Registered deaths",0,NA,NA
"41","7885a66d-6d6e-4561-a5f8-8ae977f9334a","CPWEE1",NA,NA,"2011-10-09","P7D","Total",NA,NA,NA,NA,NA,651,"Number","Registered deaths",0,NA,NA
"42","d7c9c673-16ec-45e3-9f8b-48357e111451","CPWEE1",NA,NA,"2011-10-16","P7D","Total",NA,NA,NA,NA,NA,560,"Number","Registered deaths",0,NA,NA
"43","87503f5e-01c9-42ab-81ac-a77259f603aa","CPWEE1",NA,NA,"2011-10-23","P7D","Total",NA,NA,NA,NA,NA,579,"Number","Registered deaths",0,NA,NA
"44","e8f4232a-6fbb-4bd7-a547-4037d2de8735","CPWEE1",NA,NA,"2011-11-06","P7D","Total",NA,NA,NA,NA,NA,587,"Number","Registered deaths",0,NA,NA
"45","2b99f545-75d4-439d-8bb9-441935270016","CPWEE1",NA,NA,"2011-10-30","P7D","Total",NA,NA,NA,NA,NA,555,"Number","Registered deaths",0,NA,NA
"46","478ecd73-f063-4d25-b856-ea81d8114207","CPWEE1",NA,NA,"2011-11-13","P7D","Total",NA,NA,NA,NA,NA,609,"Number","Registered deaths",0,NA,NA
"47","4a07b0e1-9061-409f-9a03-069f2cb89b2b","CPWEE1",NA,NA,"2011-12-04","P7D","Total",NA,NA,NA,NA,NA,528,"Number","Registered deaths",0,NA,NA
"48","fb050c4b-4830-4bbf-a70a-5bc67cf21218","CPWEE1",NA,NA,"2011-11-20","P7D","Total",NA,NA,NA,NA,NA,541,"Number","Registered deaths",0,NA,NA
"49","0789ca04-ff4b-4f26-8130-32fbdb5e5ded","CPWEE1",NA,NA,"2011-11-27","P7D","Total",NA,NA,NA,NA,NA,581,"Number","Registered deaths",0,NA,NA
"50","805d8ef3-ecad-4e28-af83-fb4ff1c3860c","CPWEE1",NA,NA,"2011-12-11","P7D","Total",NA,NA,NA,NA,NA,503,"Number","Registered deaths",0,NA,NA
"51","367a5cf2-9d6b-4111-a9a8-98c21e94a5c7","CPWEE1",NA,NA,"2011-12-18","P7D","Total",NA,NA,NA,NA,NA,566,"Number","Registered deaths",0,NA,NA
"52","6721df41-5cef-42ef-9efe-f4fc60b813c7","CPWEE1",NA,NA,"2011-12-25","P7D","Total",NA,NA,NA,NA,NA,570,"Number","Registered deaths",0,NA,NA
"53","d48868cd-43e0-4157-9fd7-82746cabb601","CPWEE1",NA,NA,"2012-01-01","P7D","Total",NA,NA,NA,NA,NA,564,"Number","Registered deaths",0,NA,NA
"54","084dbf34-8701-4392-b473-c12c88ca884f","CPWEE1",NA,NA,"2012-01-08","P7D","Total",NA,NA,NA,NA,NA,516,"Number","Registered deaths",0,NA,NA
"55","ae7a49df-d1cb-43a6-b7da-948a4c476020","CPWEE1",NA,NA,"2012-01-15","P7D","Total",NA,NA,NA,NA,NA,544,"Number","Registered deaths",0,NA,NA
"56","9e9b2ed4-afb2-4fd3-ba66-c6a57cf55721","CPWEE1",NA,NA,"2012-01-29","P7D","Total",NA,NA,NA,NA,NA,508,"Number","Registered deaths",0,NA,NA
"57","1c04a76a-b4db-49c3-8886-aa3bb8065a69","CPWEE1",NA,NA,"2012-02-05","P7D","Total",NA,NA,NA,NA,NA,520,"Number","Registered deaths",0,NA,NA
"58","d92aeaff-e3da-4d20-a5f7-7fd619189b98","CPWEE1",NA,NA,"2012-02-12","P7D","Total",NA,NA,NA,NA,NA,499,"Number","Registered deaths",0,NA,NA
"59","251739b8-2abb-4487-a944-31217dd4c546","CPWEE1",NA,NA,"2012-02-19","P7D","Total",NA,NA,NA,NA,NA,520,"Number","Registered deaths",0,NA,NA
"60","29de2d54-800f-4bd3-97bd-5134bfbb4ccf","CPWEE1",NA,NA,"2012-01-22","P7D","Total",NA,NA,NA,NA,NA,532,"Number","Registered deaths",0,NA,NA
"61","76fc6279-533a-4094-a883-0e347f66c74e","CPWEE1",NA,NA,"2012-02-26","P7D","Total",NA,NA,NA,NA,NA,520,"Number","Registered deaths",0,NA,NA
"62","ae6ef858-1254-4d32-b333-aec386807a41","CPWEE1",NA,NA,"2012-03-04","P7D","Total",NA,NA,NA,NA,NA,494,"Number","Registered deaths",0,NA,NA
