"Week","Label1","mean_deaths_per_capita","Period","deaths_per_capita","weekly_pop","Year","weekly_excess_rate","weekly_excess_number"
1,"Under 30",1.13574929920527e-05,2011-01-02,1.38319388689777e-05,1807411.11111111,2011,2.47444587692505e-06,4.47234097179741
1,"Under 30",1.13574929920527e-05,2012-01-01,7.73539837301621e-06,1809861.53846154,2012,-3.62209461903647e-06,-6.55548973966261
1,"Under 30",1.13574929920527e-05,2013-01-06,1.26985996573218e-05,1811223.33333333,2013,1.34110666526917e-06,2.42904368462437
1,"Under 30",1.13574929920527e-05,2014-01-05,4.92918405573264e-06,1825860,2014,-6.42830893632004e-06,-11.7371921544693
1,"Under 30",1.13574929920527e-05,2015-01-04,1.07401682411554e-05,1862168.22222222,2015,-6.17324750897239e-07,-1.14956253391209
1,"Under 30",1.13574929920527e-05,2016-01-03,6.30321912673748e-06,1903789.12087912,2016,-5.0542738653152e-06,-9.62227159873075
1,"Under 30",1.13574929920527e-05,2017-01-01,1.44230183130552e-05,1941341.22222222,2017,3.06552532100248e-06,5.95123067342812
1,"Under 30",1.13574929920527e-05,2018-01-07,1.16932623422384e-05,1966944.66666667,2018,3.35769350185721e-07,0.660439732577936
1,"Under 30",1.13574929920527e-05,2019-01-06,1.36277969370769e-05,1981244.66666667,2019,2.27030394502425e-06,4.49802758279158
1,"Under 30",1.13574929920527e-05,2020-01-05,9.5064173540446e-06,1998649.89010989,2020,-1.85107563800808e-06,-3.69965212048994
1,"Under 30",1.13574929920527e-05,2021-01-03,1.25371517597146e-05,1994073.33333333,2021,1.17965876766194e-06,2.35232609102754
1,"Under 30",1.13574929920527e-05,2022-01-02,1.0634695508411e-05,1974668.66666667,2022,-7.2279748364165e-07,-1.42728554329268
1,"30 to 59",4.00422839597537e-05,2011-01-02,3.29712142350754e-05,1759110.22222222,2011,-7.07106972467826e-06,-12.4387910347276
1,"30 to 59",4.00422839597537e-05,2012-01-01,4.4908638500515e-05,1759127.03296703,2012,4.86635454076132e-06,8.56053582465511
1,"30 to 59",4.00422839597537e-05,2013-01-06,3.97775638628788e-05,1759786,2013,-2.64720096874886e-07,-0.465850720399068
1,"30 to 59",4.00422839597537e-05,2014-01-05,4.06441979936945e-05,1771470.55555556,2014,6.01914033940837e-07,1.06627298810186
1,"30 to 59",4.00422839597537e-05,2015-01-04,4.7330878727152e-05,1795867.77777778,2015,7.28859476739836e-06,13.0893524880504
1,"30 to 59",4.00422839597537e-05,2016-01-03,3.61365513997318e-05,1826405.6043956,2016,-3.90573256002186e-06,-7.13345183689431
1,"30 to 59",4.00422839597537e-05,2017-01-01,3.65127615979774e-05,1862362.55555556,2017,-3.52952236177624e-06,-6.57325028556807
1,"30 to 59",4.00422839597537e-05,2018-01-07,4.04908377647819e-05,1901664.77777778,2018,4.48553805028223e-07,0.852998971960373
1,"30 to 59",4.00422839597537e-05,2019-01-06,3.97403903091252e-05,1937575.33333333,2019,-3.01893650628482e-07,-0.584941690747699
1,"30 to 59",4.00422839597537e-05,2020-01-05,3.83672589922015e-05,1980855.6043956,2020,-1.67502496755216e-06,-3.31798259447827
1,"30 to 59",4.00422839597537e-05,2021-01-03,3.63390603581837e-05,2008857.66666667,2021,-3.70322360157001e-06,-7.43924912339485
1,"30 to 59",4.00422839597537e-05,2022-01-02,3.81055084894179e-05,2020705.22222222,2022,-1.93677547033576e-06,-3.91365230717936
1,"60 to 79",0.000255298794100142,2011-01-02,0.000307204087943507,657543.333333333,2011,5.19052938433648e-05,34.1299799314123
1,"60 to 79",0.000255298794100142,2012-01-01,0.000311385223951347,677617.252747253,2012,5.60864298512053e-05,38.0051325121752
1,"60 to 79",0.000255298794100142,2013-01-06,0.000289921583114662,700189.333333333,2013,3.46227890145203e-05,24.2425075582176
1,"60 to 79",0.000255298794100142,2014-01-05,0.000244808575215629,723013.888888889,2014,-1.0490218884513e-05,-7.5845739509874
1,"60 to 79",0.000255298794100142,2015-01-04,0.000246468182386455,746546.666666667,2015,-8.83061171368706e-06,-6.5924637394807
1,"60 to 79",0.000255298794100142,2016-01-03,0.000276142580351037,771340.659340659,2016,2.08437862508951e-05,16.0776598299212
1,"60 to 79",0.000255298794100142,2017-01-01,0.00026462421549859,797357.111111111,2017,9.32542139844817e-06,7.43569106616037
1,"60 to 79",0.000255298794100142,2018-01-07,0.000241908197797433,822626.111111111,2018,-1.33905963027087e-05,-11.0154541619561
1,"60 to 79",0.000255298794100142,2019-01-06,0.000247350794467195,848996.666666667,2019,-7.94799963294739e-06,-6.74782519504023
1,"60 to 79",0.000255298794100142,2020-01-05,0.000242658260561192,881898.681318681,2020,-1.26405335389503e-05,-11.1476698591648
